Subject,Age
bc399bb64bd2eaf6d4253e0651e24aa34a5169c3,32
2f88b89799a0e4447d7ec3165185bfbf0ed16172,32
6a9a6ede510b444ab4eb8b8c4653b0285f639c65,57
73434527309bfd1925a89296bb4d699126ff5254,57
4fb428d45f57e7333d2406b3b3edbc10a20b3792,55
c2527dd9dbafe47d10a1ba37a8cef64e8e599d61,55
e158c6bd2cf8dc679f19d18cb66dc6b9f4bc210c,55
5bb73b491425b1bd518198d62a15199220955cbf,55
1bb2a22bc9e8a54583c32b6b7c388d477bad1e78,55
7796f6bfd9f7355b93f9487f2df6c726c00c921c,50
2bb73eb54f1a3449ef957e2b3a4733bbed502f02,50
29940afba7ecbd8a79a8e49ce1da962a2690a1c7,50
ef32efa4a4cb4ba4e69e1019af4fd96e7e0b16e3,50
578147743429698bdc2da29541eae36de6796a9b,50
1a79e32f6b96dfb42937e0d11ee4ce7cb96388c4,47
c48aed61ea9db067a16ef2a2885eb930fd3a23f5,47
117a6846addd5c7daf9a0da5eed1403f68524363,47
c39c653652b7efd6e2c187ccf2a127df0ef8b62d,47
e9ad08daf5143f493b9abe3f8470979c3f8bf488,47
bd5ac1040d811aee711610ce6bd3ee88cdd9e527,70
cadb11e8f5c14a44d3b62713d3a4fe4c6df624f8,70
35c44a93b0d8fbb00c5155f503de799e15e67f10,70
b02656a8a82554340a9c0446a098ea5db97adac8,70
19a6317c8d3e27cda47a9a22a5f49635170f89bd,70
09fb8cb6bd7428d21c12afe4cfd38d097e84b3ce,22
2ec6e5d1fc031bdbbe0682ce63419f60e708ffc7,22
39ad80d9c32e4d0a887db50b6af35ffb04e931f7,22
7457156bdafb55597225390d6ecbcdfe6c45404a,22
2ec9ad3d54c3af62d75a20628281c74957f0fdd1,22
14b29a9003a96a5398f93166554c58dbd601429c,47
f136e1d0034c4f31247395665b5c39385083f36a,47
d2c6eac319797562eadcb5b51462b22e53aa4a13,47
bb9ca17e263bd6b86f1f6437ef8779e6d053a969,47
9d0e385077b58e5fb89b1bdc4512ce2b60c4caaa,47
017421af04cabaa29b2a378020815af29b97ad61,44
3b59df6dcb494abeea1a98be06ca22d4c01a699a,44
06caf19620bb79a841ea4694394389904ea0862b,44
19ae82eb60cc2cd0bcf47be05fe8a05568d43378,44
7d58830f28fe9a22bdfef37dd983cd7bb9bd3eec,44
f8ed23ddfd55e3746e341a827e596daa41534d78,66
7a2f8cac47013a6c136808d992b29c324cfef6c7,66
e43605dc16798c6b4cb47de8574234065b2b5912,66
09930f008e0f3ab46beff8be3369e6761ea6ef2e,66
2eade86ba8a887b2be103eabfb4ec9911896a50b,66
e3a595d750656ff79a848cc5e78b57f21bee128f,35
b51a47f66ba624a32f180c2ecf8474f7fada27f0,35
f02f22ca9615a659c04b363dca153d31b3195eb8,35
22a46bc62cbd16b3fcbba38c46351984a451ecd6,35
6e99f0d604fcf51c690fec07b2a596fa016a4743,44
6f807f98c0154a44f362cd3528ac6d5e81ab0772,44
db60bcfb3249e9d2f69cd238ffb67286b164a266,44
51a3f7716fd5deba63b1069468042faeab053819,44
2ce37e60590179f09a80bbe8c137ddad56b768d4,44
249a7eee83615fbf803e591217620bd7cbdc7974,51
54b4b563c1f08b09384e4fc08fb10906d2d61606,51
08f35c7ec3f0b4bc8f2fca6d0a1dca8a48e133b2,51
4bad37817e4772e7bf9ec7e6f6c45a914f7f8bc5,51
c82a831b4125c67ab5dcb04d102a54975a8c71b1,51
552f5a020f8743e9b585db65aaf0bf08492cada1,74
72987fbbd9a10809842f1044e8f5527ece2db6b8,74
0e405266dc54284eca38ef2b5e55a2d267ea3fec,74
ec921144fad8c3246887bf4aa90a91a404726033,74
414274adff4ce892b7a0318d13b6cc45249d6565,74
