label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82090.0,82090.0,82110.0,81970.0
Left-Caudate,41382.0,41382.0,41701.0,41525.0
Left-Putamen,66960.0,66960.0,67008.0,68292.0
Left-Pallidum,23504.0,23504.0,23504.0,23426.0
Brain-Stem,353648.0,353648.0,353872.0,353040.0
Left-Hippocampus,59092.0,59092.0,59619.0,58497.0
Left-Amygdala,29052.0,29052.0,28764.0,28458.0
Left-Accumbens-area,14768.0,14768.0,14118.0,14092.0
Right-Thalamus-Proper,387541.0,387541.0,387149.0,389354.0
Right-Caudate,185350.0,185350.0,185550.0,186600.0
Right-Putamen,277338.0,277338.0,277338.0,276726.0
Right-Pallidum,97292.0,97292.0,97084.0,97032.0
Right-Hippocampus,205799.0,205799.0,206753.0,206011.0
Right-Amygdala,74466.0,74466.0,74736.0,71874.0
Right-Accumbens-area,24650.0,24650.0,24998.0,24940.0
