label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82000.0,82000.0,82000.0,82040.0
Left-Caudate,42427.0,42427.0,42427.0,42240.0
Left-Putamen,67704.0,67704.0,67704.0,67464.0
Left-Pallidum,23738.0,23738.0,23738.0,24063.0
Brain-Stem,356400.0,356400.0,356400.0,360736.0
Left-Hippocampus,59585.0,59585.0,59585.0,59211.0
Left-Amygdala,29790.0,29790.0,29790.0,29538.0
Left-Accumbens-area,14144.0,14144.0,14144.0,14534.0
Right-Thalamus-Proper,389158.0,389158.0,389158.0,389256.0
Right-Caudate,181100.0,181100.0,181100.0,181200.0
Right-Putamen,280806.0,280806.0,280806.0,280959.0
Right-Pallidum,97500.0,97500.0,97500.0,99268.0
Right-Hippocampus,195252.0,195252.0,195252.0,195941.0
Right-Amygdala,70038.0,70038.0,70038.0,67662.0
Right-Accumbens-area,26506.0,26506.0,26448.0,26564.0
