label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81910.0,81910.0,82330.0,82280.0
Left-Caudate,37862.0,37862.0,37653.0,37862.0
Left-Putamen,55824.0,55824.0,56856.0,56964.0
Left-Pallidum,23894.0,23894.0,23894.0,23738.0
Brain-Stem,366816.0,366816.0,366320.0,361584.0
Left-Hippocampus,56474.0,56474.0,56253.0,55879.0
Left-Amygdala,28764.0,28764.0,29664.0,28998.0
Left-Accumbens-area,14274.0,14274.0,14196.0,14430.0
Right-Thalamus-Proper,387345.0,387345.0,384454.0,387198.0
Right-Caudate,178200.0,178200.0,179200.0,178850.0
Right-Putamen,229347.0,229347.0,230520.0,230163.0
Right-Pallidum,92300.0,92300.0,91312.0,91520.0
Right-Hippocampus,196789.0,196789.0,197425.0,198379.0
Right-Amygdala,76896.0,76896.0,77058.0,78030.0
Right-Accumbens-area,30624.0,30624.0,29290.0,30218.0
