label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75960.0,75960.0,75960.0,75660.0
Left-Caudate,39809.0,39809.0,39765.0,40139.0
Left-Putamen,77148.0,77148.0,77808.0,79116.0
Left-Pallidum,26871.0,26871.0,27235.0,26858.0
Brain-Stem,364272.0,364272.0,364320.0,368688.0
Left-Hippocampus,63393.0,63393.0,65331.0,63869.0
Left-Amygdala,28872.0,28872.0,28296.0,28512.0
Left-Accumbens-area,18720.0,18720.0,18122.0,17680.0
Right-Thalamus-Proper,373772.0,373772.0,374801.0,373135.0
Right-Caudate,189700.0,189700.0,189850.0,188350.0
Right-Putamen,298095.0,298095.0,296259.0,299064.0
Right-Pallidum,100100.0,100100.0,99840.0,99788.0
Right-Hippocampus,220162.0,220162.0,216452.0,218413.0
Right-Amygdala,94878.0,94878.0,93366.0,95526.0
Right-Accumbens-area,21924.0,21924.0,22794.0,20242.0
