label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87060.0,87060.0,87060.0,89050.0
Left-Caudate,48301.0,48301.0,48301.0,48092.0
Left-Putamen,68148.0,68148.0,68148.0,68760.0
Left-Pallidum,25480.0,25480.0,25480.0,25870.0
Brain-Stem,352912.0,352912.0,352912.0,352752.0
Left-Hippocampus,69989.0,69989.0,69989.0,69734.0
Left-Amygdala,33264.0,33264.0,33264.0,34074.0
Left-Accumbens-area,11778.0,11778.0,11778.0,11310.0
Right-Thalamus-Proper,434630.0,434630.0,434630.0,436394.0
Right-Caudate,211150.0,211150.0,211250.0,213350.0
Right-Putamen,277644.0,277644.0,277644.0,277593.0
Right-Pallidum,102804.0,102804.0,102804.0,101868.0
Right-Hippocampus,236698.0,236698.0,236698.0,236857.0
Right-Amygdala,103626.0,103626.0,103626.0,103464.0
Right-Accumbens-area,26680.0,26622.0,26680.0,25694.0
