label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88120.0,88120.0,88500.0,88200.0
Left-Caudate,35277.0,35277.0,35387.0,35541.0
Left-Putamen,70260.0,70260.0,69936.0,70164.0
Left-Pallidum,25584.0,25584.0,26065.0,25623.0
Brain-Stem,389472.0,389472.0,389296.0,390400.0
Left-Hippocampus,64804.0,64804.0,64447.0,64413.0
Left-Amygdala,26748.0,26748.0,26964.0,26892.0
Left-Accumbens-area,13806.0,13806.0,13884.0,13572.0
Right-Thalamus-Proper,431298.0,431298.0,432866.0,431543.0
Right-Caudate,158250.0,158250.0,158000.0,159100.0
Right-Putamen,284478.0,284478.0,286773.0,281163.0
Right-Pallidum,105820.0,105820.0,104624.0,104364.0
Right-Hippocampus,204103.0,204103.0,203043.0,203255.0
Right-Amygdala,86184.0,86184.0,86292.0,86292.0
Right-Accumbens-area,29406.0,29406.0,30102.0,26622.0
