label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,86740.0,86740.0,86740.0,86720.0
Left-Caudate,38863.0,38863.0,38852.0,38907.0
Left-Putamen,67392.0,67392.0,67392.0,67224.0
Left-Pallidum,25025.0,25025.0,25025.0,25025.0
Brain-Stem,394768.0,394768.0,394752.0,394048.0
Left-Hippocampus,69411.0,69411.0,69411.0,69768.0
Left-Amygdala,27180.0,27180.0,27180.0,27270.0
Left-Accumbens-area,16952.0,16952.0,16952.0,16848.0
Right-Thalamus-Proper,422870.0,422870.0,422870.0,422821.0
Right-Caudate,168700.0,168700.0,168750.0,169600.0
Right-Putamen,277287.0,277287.0,277287.0,274533.0
Right-Pallidum,104416.0,104416.0,104416.0,104364.0
Right-Hippocampus,217035.0,217035.0,217035.0,216134.0
Right-Amygdala,88776.0,88776.0,88776.0,90180.0
Right-Accumbens-area,28768.0,28768.0,28768.0,28768.0
