label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75060.0,75060.0,74880.0,74310.0
Left-Caudate,32109.0,32109.0,30668.0,33165.0
Left-Putamen,62040.0,62040.0,61224.0,60120.0
Left-Pallidum,22347.0,22347.0,22490.0,22217.0
Brain-Stem,319232.0,319232.0,323456.0,319120.0
Left-Hippocampus,66147.0,66147.0,65297.0,66232.0
Left-Amygdala,28818.0,28818.0,28674.0,29142.0
Left-Accumbens-area,12220.0,12220.0,12116.0,10998.0
Right-Thalamus-Proper,350791.0,350791.0,352359.0,354956.0
Right-Caudate,137250.0,137250.0,137100.0,136750.0
Right-Putamen,246483.0,246483.0,248268.0,246381.0
Right-Pallidum,82732.0,82732.0,83824.0,84136.0
Right-Hippocampus,203520.0,203520.0,202937.0,202513.0
Right-Amygdala,84024.0,84024.0,84240.0,83808.0
Right-Accumbens-area,24302.0,24302.0,24012.0,26390.0
