label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82390.0,82390.0,82260.0,82480.0
Left-Caudate,39633.0,39633.0,39798.0,39743.0
Left-Putamen,67632.0,67632.0,66972.0,67692.0
Left-Pallidum,24934.0,24934.0,25376.0,25714.0
Brain-Stem,360432.0,360432.0,359600.0,360208.0
Left-Hippocampus,61098.0,61098.0,61030.0,60503.0
Left-Amygdala,30384.0,30384.0,31104.0,29790.0
Left-Accumbens-area,18304.0,18304.0,18018.0,18148.0
Right-Thalamus-Proper,409199.0,409199.0,408954.0,408660.0
Right-Caudate,195500.0,195500.0,195400.0,194250.0
Right-Putamen,277185.0,277185.0,277338.0,277848.0
Right-Pallidum,101192.0,101192.0,101556.0,102076.0
Right-Hippocampus,202354.0,202354.0,205428.0,204633.0
Right-Amygdala,86454.0,86454.0,83106.0,84996.0
Right-Accumbens-area,27318.0,27318.0,28072.0,28362.0
