label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87700.0,87700.0,87640.0,87890.0
Left-Caudate,38896.0,38896.0,38951.0,38577.0
Left-Putamen,67764.0,67764.0,67740.0,66984.0
Left-Pallidum,24739.0,24739.0,25038.0,24518.0
Brain-Stem,395632.0,395632.0,395680.0,394032.0
Left-Hippocampus,70703.0,70703.0,70924.0,72675.0
Left-Amygdala,28638.0,28638.0,27972.0,29592.0
Left-Accumbens-area,15756.0,15756.0,16276.0,16822.0
Right-Thalamus-Proper,413021.0,413021.0,413021.0,414883.0
Right-Caudate,172500.0,172500.0,172150.0,172550.0
Right-Putamen,287232.0,287232.0,287232.0,281418.0
Right-Pallidum,104364.0,104364.0,102024.0,101764.0
Right-Hippocampus,214650.0,214650.0,214862.0,214385.0
Right-Amygdala,87102.0,87102.0,87210.0,86562.0
Right-Accumbens-area,33176.0,33176.0,32422.0,31784.0
