label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87620.0,87620.0,87620.0,87200.0
Left-Caudate,42625.0,42625.0,42625.0,42834.0
Left-Putamen,68244.0,68244.0,68244.0,66684.0
Left-Pallidum,23582.0,23582.0,23582.0,23738.0
Brain-Stem,383136.0,383136.0,383136.0,382096.0
Left-Hippocampus,65943.0,65943.0,65943.0,65535.0
Left-Amygdala,35946.0,35946.0,35946.0,36126.0
Left-Accumbens-area,12922.0,12922.0,12948.0,12350.0
Right-Thalamus-Proper,406700.0,406700.0,406700.0,405916.0
Right-Caudate,188450.0,188450.0,188450.0,188500.0
Right-Putamen,285957.0,285957.0,285957.0,286569.0
Right-Pallidum,95680.0,95680.0,95680.0,94120.0
Right-Hippocampus,200552.0,200658.0,200552.0,200340.0
Right-Amygdala,92502.0,92610.0,92502.0,93906.0
Right-Accumbens-area,28246.0,28246.0,28246.0,26448.0
