label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,69640.0,69640.0,69640.0,69620.0
Left-Caudate,36014.0,36014.0,36014.0,35981.0
Left-Putamen,62136.0,62136.0,62136.0,62352.0
Left-Pallidum,21684.0,21684.0,21684.0,21619.0
Brain-Stem,290224.0,290224.0,290224.0,289712.0
Left-Hippocampus,48246.0,48246.0,48246.0,48671.0
Left-Amygdala,24534.0,24534.0,24534.0,24462.0
Left-Accumbens-area,12272.0,12272.0,12272.0,12532.0
Right-Thalamus-Proper,338198.0,338198.0,338198.0,338492.0
Right-Caudate,154450.0,154450.0,154450.0,153950.0
Right-Putamen,237252.0,237252.0,237252.0,236385.0
Right-Pallidum,80548.0,80548.0,80548.0,80912.0
Right-Hippocampus,164300.0,164300.0,164300.0,163876.0
Right-Amygdala,71118.0,71118.0,71118.0,71010.0
Right-Accumbens-area,24766.0,24766.0,24766.0,24882.0
