label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76580.0,76580.0,76580.0,77880.0
Left-Caudate,39930.0,39930.0,39930.0,39226.0
Left-Putamen,55416.0,55416.0,55416.0,55320.0
Left-Pallidum,23010.0,23010.0,23010.0,23036.0
Brain-Stem,324512.0,324512.0,324512.0,324256.0
Left-Hippocampus,75004.0,75004.0,75004.0,74715.0
Left-Amygdala,23346.0,23346.0,23346.0,23832.0
Left-Accumbens-area,11622.0,11622.0,11622.0,11336.0
Right-Thalamus-Proper,369901.0,369901.0,369901.0,361767.0
Right-Caudate,179400.0,179400.0,179350.0,179200.0
Right-Putamen,265557.0,265557.0,265557.0,265659.0
Right-Pallidum,85644.0,85644.0,85644.0,85228.0
Right-Hippocampus,227476.0,227476.0,227476.0,227264.0
Right-Amygdala,68634.0,68634.0,68634.0,67392.0
Right-Accumbens-area,23200.0,23200.0,23200.0,23316.0
