label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,78000.0,78000.0,77890.0,78290.0
Left-Caudate,39886.0,39886.0,39710.0,39589.0
Left-Putamen,51444.0,51444.0,50700.0,51228.0
Left-Pallidum,20696.0,20696.0,20761.0,20852.0
Brain-Stem,308480.0,308480.0,314112.0,313232.0
Left-Hippocampus,62679.0,62679.0,62730.0,63223.0
Left-Amygdala,28692.0,28692.0,28710.0,28602.0
Left-Accumbens-area,10920.0,10920.0,10764.0,10920.0
Right-Thalamus-Proper,366520.0,366520.0,368186.0,368725.0
Right-Caudate,166500.0,166500.0,166400.0,166600.0
Right-Putamen,221034.0,221034.0,220881.0,219249.0
Right-Pallidum,82732.0,82732.0,82576.0,83096.0
Right-Hippocampus,167798.0,167798.0,167904.0,165201.0
Right-Amygdala,64800.0,64800.0,65772.0,67392.0
Right-Accumbens-area,26506.0,26506.0,26796.0,26332.0
