label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74960.0,74960.0,74960.0,75390.0
Left-Caudate,31966.0,31966.0,31966.0,31933.0
Left-Putamen,56496.0,56496.0,56496.0,56280.0
Left-Pallidum,20475.0,20475.0,20475.0,20436.0
Brain-Stem,338992.0,338992.0,338992.0,339104.0
Left-Hippocampus,56916.0,56916.0,56916.0,56474.0
Left-Amygdala,26874.0,26874.0,26874.0,27324.0
Left-Accumbens-area,10114.0,10114.0,10114.0,10426.0
Right-Thalamus-Proper,355250.0,355250.0,355250.0,355103.0
Right-Caudate,142150.0,142150.0,142150.0,141600.0
Right-Putamen,245208.0,245208.0,245208.0,244596.0
Right-Pallidum,85540.0,85540.0,85540.0,85384.0
Right-Hippocampus,186401.0,186401.0,186454.0,185659.0
Right-Amygdala,77706.0,77706.0,77706.0,77166.0
Right-Accumbens-area,21460.0,21460.0,21460.0,21286.0
