label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,106700.0,106700.0,106700.0,106730.0
Left-Caudate,39897.0,39897.0,39897.0,40260.0
Left-Putamen,70776.0,70776.0,70776.0,70392.0
Left-Pallidum,27274.0,27274.0,27274.0,27690.0
Brain-Stem,476912.0,476912.0,476912.0,476912.0
Left-Hippocampus,77333.0,77333.0,77333.0,76721.0
Left-Amygdala,36612.0,36612.0,36612.0,34866.0
Left-Accumbens-area,16848.0,16848.0,16848.0,16848.0
Right-Thalamus-Proper,490588.0,490588.0,490588.0,491176.0
Right-Caudate,182650.0,182650.0,182650.0,177600.0
Right-Putamen,298350.0,298350.0,298350.0,294933.0
Right-Pallidum,106340.0,106340.0,106340.0,106340.0
Right-Hippocampus,251962.0,251962.0,252015.0,252916.0
Right-Amygdala,107838.0,107838.0,107838.0,109944.0
Right-Accumbens-area,33002.0,33002.0,33002.0,31958.0
