label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,77090.0,77090.0,76660.0,76990.0
Left-Caudate,40920.0,40920.0,40326.0,40590.0
Left-Putamen,75324.0,75324.0,81036.0,75996.0
Left-Pallidum,27534.0,27534.0,27456.0,27534.0
Brain-Stem,364480.0,364480.0,364080.0,360992.0
Left-Hippocampus,68170.0,68170.0,66385.0,67728.0
Left-Amygdala,26856.0,26856.0,25722.0,26766.0
Left-Accumbens-area,17290.0,17290.0,16432.0,17368.0
Right-Thalamus-Proper,377986.0,377986.0,379750.0,378280.0
Right-Caudate,187400.0,187400.0,184050.0,185650.0
Right-Putamen,320841.0,320841.0,313854.0,319668.0
Right-Pallidum,92300.0,92300.0,90740.0,90844.0
Right-Hippocampus,226999.0,226999.0,227211.0,228536.0
Right-Amygdala,87480.0,87480.0,92826.0,92556.0
Right-Accumbens-area,19140.0,19140.0,19256.0,18560.0
