label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88730.0,88730.0,88630.0,88870.0
Left-Caudate,37268.0,37268.0,36795.0,37070.0
Left-Putamen,74856.0,74856.0,73848.0,74976.0
Left-Pallidum,26910.0,26910.0,26988.0,26975.0
Brain-Stem,422928.0,422928.0,419120.0,409280.0
Left-Hippocampus,75973.0,75973.0,74800.0,75956.0
Left-Amygdala,26532.0,26532.0,25866.0,26532.0
Left-Accumbens-area,17992.0,17992.0,18174.0,18148.0
Right-Thalamus-Proper,426741.0,426741.0,425271.0,426545.0
Right-Caudate,176650.0,176650.0,176100.0,176450.0
Right-Putamen,291312.0,291312.0,304572.0,296514.0
Right-Pallidum,108836.0,108836.0,109460.0,110084.0
Right-Hippocampus,249418.0,249418.0,249683.0,249895.0
Right-Amygdala,99414.0,99414.0,99792.0,98928.0
Right-Accumbens-area,29000.0,29000.0,30682.0,30276.0
