label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,80040.0,80040.0,79080.0,79320.0
Left-Caudate,35695.0,35695.0,35959.0,35409.0
Left-Putamen,59736.0,59736.0,59724.0,60480.0
Left-Pallidum,23192.0,23192.0,22997.0,23075.0
Brain-Stem,326784.0,326784.0,341296.0,336048.0
Left-Hippocampus,63291.0,63291.0,64124.0,63631.0
Left-Amygdala,23886.0,23886.0,23796.0,23688.0
Left-Accumbens-area,9308.0,9308.0,9074.0,9230.0
Right-Thalamus-Proper,386757.0,386757.0,386904.0,383866.0
Right-Caudate,169850.0,169400.0,169200.0,169600.0
Right-Putamen,257958.0,257958.0,257244.0,254388.0
Right-Pallidum,93392.0,93392.0,93288.0,92508.0
Right-Hippocampus,193026.0,193026.0,192337.0,192125.0
Right-Amygdala,78948.0,78948.0,78570.0,78732.0
Right-Accumbens-area,30044.0,30044.0,32538.0,31668.0
