label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82240.0,82240.0,82530.0,82490.0
Left-Caudate,41393.0,41393.0,41349.0,41305.0
Left-Putamen,67392.0,67392.0,66672.0,70968.0
Left-Pallidum,23725.0,23725.0,23803.0,23764.0
Brain-Stem,349680.0,349680.0,350288.0,353504.0
Left-Hippocampus,74307.0,74307.0,73814.0,74647.0
Left-Amygdala,28260.0,28260.0,28386.0,28260.0
Left-Accumbens-area,13858.0,13858.0,15158.0,15262.0
Right-Thalamus-Proper,410081.0,410081.0,411600.0,409934.0
Right-Caudate,185950.0,185950.0,183500.0,185000.0
Right-Putamen,289884.0,289884.0,287538.0,289170.0
Right-Pallidum,87360.0,87360.0,88140.0,87724.0
Right-Hippocampus,257156.0,257156.0,250054.0,253340.0
Right-Amygdala,82890.0,82890.0,82728.0,81864.0
Right-Accumbens-area,38744.0,38744.0,38338.0,38744.0
