label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88910.0,88910.0,88940.0,88940.0
Left-Caudate,48169.0,48169.0,48070.0,48444.0
Left-Putamen,66744.0,66744.0,67452.0,68412.0
Left-Pallidum,26117.0,26117.0,26260.0,26143.0
Brain-Stem,351808.0,351808.0,365872.0,350560.0
Left-Hippocampus,67643.0,67643.0,67184.0,67847.0
Left-Amygdala,35388.0,35388.0,33336.0,35478.0
Left-Accumbens-area,11388.0,11388.0,11570.0,10894.0
Right-Thalamus-Proper,431984.0,431984.0,432327.0,431690.0
Right-Caudate,203200.0,203200.0,203150.0,203200.0
Right-Putamen,282336.0,282336.0,282234.0,283203.0
Right-Pallidum,102024.0,102024.0,102180.0,101972.0
Right-Hippocampus,239719.0,239719.0,238076.0,240408.0
Right-Amygdala,102492.0,102492.0,103140.0,102222.0
Right-Accumbens-area,26622.0,26622.0,25288.0,26622.0
