label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75090.0,75090.0,75110.0,74550.0
Left-Caudate,32252.0,32252.0,32296.0,32285.0
Left-Putamen,60108.0,60108.0,60612.0,60108.0
Left-Pallidum,22152.0,22152.0,22217.0,22217.0
Brain-Stem,316992.0,316992.0,320880.0,321424.0
Left-Hippocampus,71179.0,71179.0,71621.0,71927.0
Left-Amygdala,27918.0,27918.0,27612.0,27324.0
Left-Accumbens-area,9568.0,9568.0,8788.0,9490.0
Right-Thalamus-Proper,363482.0,363482.0,361228.0,363433.0
Right-Caudate,134700.0,134700.0,136100.0,134200.0
Right-Putamen,249288.0,249288.0,248625.0,246024.0
Right-Pallidum,83876.0,83876.0,83564.0,83616.0
Right-Hippocampus,217936.0,217936.0,218307.0,218307.0
Right-Amygdala,83376.0,83376.0,83160.0,83808.0
Right-Accumbens-area,32074.0,32074.0,31784.0,32422.0
