label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,105800.0,105800.0,105830.0,105920.0
Left-Caudate,46024.0,46024.0,46090.0,46618.0
Left-Putamen,76140.0,76140.0,76404.0,76104.0
Left-Pallidum,30147.0,30147.0,29588.0,29679.0
Brain-Stem,442112.0,442112.0,448464.0,450944.0
Left-Hippocampus,77163.0,77163.0,76976.0,77520.0
Left-Amygdala,35802.0,35802.0,35784.0,35352.0
Left-Accumbens-area,17212.0,17212.0,17628.0,17264.0
Right-Thalamus-Proper,514843.0,514843.0,504896.0,514647.0
Right-Caudate,209700.0,209700.0,210650.0,209700.0
Right-Putamen,327573.0,327573.0,320076.0,321198.0
Right-Pallidum,109408.0,109408.0,107848.0,108940.0
Right-Hippocampus,242422.0,242422.0,244065.0,242846.0
Right-Amygdala,106164.0,106164.0,106434.0,106596.0
Right-Accumbens-area,41238.0,41238.0,39266.0,39904.0
