label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75030.0,75030.0,75030.0,74480.0
Left-Caudate,32747.0,32747.0,32747.0,32725.0
Left-Putamen,55548.0,55548.0,55548.0,55488.0
Left-Pallidum,24622.0,24622.0,24622.0,24986.0
Brain-Stem,335424.0,335424.0,335488.0,343888.0
Left-Hippocampus,68850.0,68850.0,68850.0,69105.0
Left-Amygdala,26964.0,26964.0,26964.0,27018.0
Left-Accumbens-area,12584.0,12584.0,12584.0,12454.0
Right-Thalamus-Proper,359464.0,359464.0,359464.0,359170.0
Right-Caudate,147450.0,147450.0,147450.0,147550.0
Right-Putamen,237405.0,237405.0,237405.0,237099.0
Right-Pallidum,100568.0,100568.0,100568.0,101088.0
Right-Hippocampus,206647.0,206647.0,206647.0,207654.0
Right-Amygdala,83754.0,83754.0,83754.0,83376.0
Right-Accumbens-area,21170.0,21170.0,21170.0,23258.0
