label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84490.0,84490.0,84510.0,84580.0
Left-Caudate,39831.0,39831.0,39688.0,39798.0
Left-Putamen,61308.0,61308.0,61452.0,61224.0
Left-Pallidum,21905.0,21905.0,21684.0,21918.0
Brain-Stem,345504.0,345504.0,346848.0,346912.0
Left-Hippocampus,67762.0,67762.0,67473.0,67490.0
Left-Amygdala,27288.0,27288.0,27468.0,27324.0
Left-Accumbens-area,15288.0,15288.0,15262.0,15522.0
Right-Thalamus-Proper,394303.0,394303.0,394450.0,394156.0
Right-Caudate,186450.0,186450.0,187500.0,187450.0
Right-Putamen,242250.0,242250.0,241230.0,237915.0
Right-Pallidum,93080.0,93080.0,92716.0,94172.0
Right-Hippocampus,213908.0,213908.0,212689.0,213431.0
Right-Amygdala,91368.0,91368.0,93258.0,93420.0
Right-Accumbens-area,26622.0,26622.0,27028.0,27144.0
