label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88550.0,88550.0,88550.0,88400.0
Left-Caudate,36355.0,36355.0,36366.0,36685.0
Left-Putamen,63168.0,63168.0,63168.0,63000.0
Left-Pallidum,22867.0,22867.0,22867.0,22867.0
Brain-Stem,362384.0,362384.0,362384.0,358448.0
Left-Hippocampus,73542.0,73542.0,73542.0,73627.0
Left-Amygdala,29412.0,29412.0,29412.0,29232.0
Left-Accumbens-area,15704.0,15704.0,15704.0,15808.0
Right-Thalamus-Proper,432964.0,432964.0,432964.0,433454.0
Right-Caudate,175000.0,175000.0,175050.0,174850.0
Right-Putamen,263670.0,263670.0,263670.0,261885.0
Right-Pallidum,95992.0,95992.0,95992.0,95784.0
Right-Hippocampus,219526.0,219526.0,219526.0,219685.0
Right-Amygdala,90234.0,90234.0,90234.0,93042.0
Right-Accumbens-area,29754.0,29754.0,29754.0,30102.0
