label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,105470.0,105470.0,105480.0,105500.0
Left-Caudate,46519.0,46519.0,46453.0,46530.0
Left-Putamen,78912.0,78912.0,78720.0,78720.0
Left-Pallidum,29575.0,29575.0,29263.0,29588.0
Brain-Stem,452800.0,452800.0,453888.0,445760.0
Left-Hippocampus,79832.0,79832.0,78540.0,79101.0
Left-Amygdala,35604.0,35604.0,36468.0,35244.0
Left-Accumbens-area,15704.0,15704.0,15652.0,15860.0
Right-Thalamus-Proper,511854.0,511854.0,511952.0,512001.0
Right-Caudate,213800.0,213800.0,214050.0,213700.0
Right-Putamen,314364.0,314364.0,311661.0,312018.0
Right-Pallidum,108264.0,108264.0,110500.0,110396.0
Right-Hippocampus,256467.0,256467.0,257156.0,255460.0
Right-Amygdala,99738.0,99738.0,101034.0,100872.0
Right-Accumbens-area,45704.0,45704.0,46516.0,45762.0
