label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74400.0,74400.0,74560.0,74300.0
Left-Caudate,38819.0,38819.0,38819.0,38874.0
Left-Putamen,52824.0,52824.0,53760.0,53436.0
Left-Pallidum,18993.0,18993.0,19071.0,19123.0
Brain-Stem,303008.0,303008.0,301552.0,306768.0
Left-Hippocampus,61149.0,61149.0,60741.0,61472.0
Left-Amygdala,23472.0,23472.0,23886.0,23652.0
Left-Accumbens-area,12740.0,12740.0,12558.0,12714.0
Right-Thalamus-Proper,360934.0,360934.0,360591.0,360885.0
Right-Caudate,179100.0,179100.0,179450.0,178250.0
Right-Putamen,228990.0,228990.0,227562.0,228276.0
Right-Pallidum,81276.0,81276.0,81744.0,82316.0
Right-Hippocampus,204262.0,204262.0,199333.0,198856.0
Right-Amygdala,62046.0,62046.0,63342.0,63234.0
Right-Accumbens-area,34568.0,34568.0,32654.0,35786.0
