label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88870.0,88870.0,88080.0,88870.0
Left-Caudate,38357.0,38357.0,38368.0,38137.0
Left-Putamen,60816.0,60816.0,61284.0,61188.0
Left-Pallidum,23946.0,23946.0,23933.0,23972.0
Brain-Stem,358032.0,358032.0,358016.0,357568.0
Left-Hippocampus,74953.0,74953.0,75327.0,75378.0
Left-Amygdala,29466.0,29466.0,29520.0,29376.0
Left-Accumbens-area,14716.0,14716.0,14326.0,14664.0
Right-Thalamus-Proper,429387.0,429387.0,429828.0,429632.0
Right-Caudate,173050.0,173050.0,172900.0,172950.0
Right-Putamen,253929.0,253929.0,252501.0,253470.0
Right-Pallidum,96044.0,96044.0,96148.0,96096.0
Right-Hippocampus,224296.0,224296.0,225250.0,226469.0
Right-Amygdala,94122.0,94122.0,94770.0,94392.0
Right-Accumbens-area,29058.0,29058.0,29000.0,28942.0
