label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81660.0,81660.0,81660.0,81820.0
Left-Caudate,38577.0,38577.0,38577.0,38577.0
Left-Putamen,65580.0,65580.0,65580.0,65004.0
Left-Pallidum,25363.0,25363.0,25363.0,25389.0
Brain-Stem,345392.0,345392.0,345392.0,349232.0
Left-Hippocampus,72148.0,72148.0,72148.0,71808.0
Left-Amygdala,28710.0,28710.0,28710.0,28728.0
Left-Accumbens-area,15444.0,15444.0,15444.0,15132.0
Right-Thalamus-Proper,371077.0,371077.0,371077.0,370979.0
Right-Caudate,178200.0,178200.0,178200.0,179050.0
Right-Putamen,280092.0,280092.0,280092.0,280653.0
Right-Pallidum,97812.0,97812.0,97812.0,98280.0
Right-Hippocampus,204368.0,204368.0,204368.0,200446.0
Right-Amygdala,74466.0,74466.0,74466.0,76086.0
Right-Accumbens-area,32306.0,32306.0,32306.0,31320.0
