label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83120.0,83120.0,83210.0,83090.0
Left-Caudate,37653.0,37653.0,37708.0,37972.0
Left-Putamen,56688.0,56688.0,56652.0,55992.0
Left-Pallidum,24206.0,24206.0,24245.0,24232.0
Brain-Stem,371152.0,371152.0,370912.0,376736.0
Left-Hippocampus,53771.0,53771.0,53686.0,53516.0
Left-Amygdala,28386.0,28386.0,28476.0,28332.0
Left-Accumbens-area,15678.0,15678.0,15548.0,15444.0
Right-Thalamus-Proper,383523.0,383523.0,383278.0,383523.0
Right-Caudate,184750.0,184750.0,184250.0,185200.0
Right-Putamen,227205.0,227205.0,226338.0,225165.0
Right-Pallidum,91988.0,91988.0,93548.0,91832.0
Right-Hippocampus,204474.0,204474.0,203520.0,205216.0
Right-Amygdala,83322.0,83322.0,79812.0,81216.0
Right-Accumbens-area,25636.0,25636.0,24940.0,25346.0
