label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81410.0,81410.0,82150.0,81220.0
Left-Caudate,41404.0,41404.0,41767.0,41613.0
Left-Putamen,68352.0,68352.0,67500.0,68112.0
Left-Pallidum,23049.0,23049.0,22659.0,23426.0
Brain-Stem,355024.0,355024.0,360432.0,362688.0
Left-Hippocampus,62526.0,62526.0,61421.0,61455.0
Left-Amygdala,30150.0,30150.0,29988.0,29502.0
Left-Accumbens-area,13624.0,13624.0,14144.0,14066.0
Right-Thalamus-Proper,389060.0,389060.0,389109.0,388031.0
Right-Caudate,179150.0,179150.0,178850.0,181600.0
Right-Putamen,278511.0,278511.0,278766.0,281571.0
Right-Pallidum,97812.0,97812.0,97812.0,97968.0
Right-Hippocampus,194192.0,194192.0,190535.0,193609.0
Right-Amygdala,70902.0,70902.0,71064.0,70092.0
Right-Accumbens-area,31320.0,31320.0,31030.0,30102.0
