label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75560.0,75560.0,75560.0,75740.0
Left-Caudate,32637.0,32637.0,32626.0,33000.0
Left-Putamen,58104.0,58104.0,58104.0,58272.0
Left-Pallidum,25103.0,25103.0,25103.0,24882.0
Brain-Stem,345392.0,345392.0,345392.0,345216.0
Left-Hippocampus,67473.0,67473.0,67473.0,67252.0
Left-Amygdala,26478.0,26478.0,26460.0,26442.0
Left-Accumbens-area,13364.0,13364.0,13364.0,12662.0
Right-Thalamus-Proper,366520.0,366520.0,366520.0,366667.0
Right-Caudate,148200.0,148200.0,148200.0,149750.0
Right-Putamen,233682.0,233682.0,233682.0,235314.0
Right-Pallidum,96148.0,96148.0,96148.0,96148.0
Right-Hippocampus,224243.0,224243.0,224243.0,225515.0
Right-Amygdala,81162.0,81162.0,81162.0,79326.0
Right-Accumbens-area,26854.0,26854.0,26854.0,26448.0
