label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,77690.0,77690.0,77740.0,77630.0
Left-Caudate,39765.0,39765.0,39314.0,39534.0
Left-Putamen,51072.0,51072.0,51036.0,50868.0
Left-Pallidum,20722.0,20722.0,21177.0,21164.0
Brain-Stem,315056.0,315056.0,318960.0,316080.0
Left-Hippocampus,61846.0,61846.0,61829.0,62067.0
Left-Amygdala,29268.0,29268.0,29322.0,29394.0
Left-Accumbens-area,10868.0,10868.0,11128.0,11154.0
Right-Thalamus-Proper,368382.0,368382.0,368382.0,368137.0
Right-Caudate,176700.0,176700.0,176350.0,176650.0
Right-Putamen,215628.0,215628.0,215322.0,215220.0
Right-Pallidum,81016.0,81016.0,80184.0,80236.0
Right-Hippocampus,164141.0,164141.0,166261.0,164618.0
Right-Amygdala,65448.0,65448.0,65178.0,65718.0
Right-Accumbens-area,23490.0,23490.0,22272.0,22156.0
