label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76450.0,76450.0,77410.0,77280.0
Left-Caudate,34012.0,34012.0,33902.0,34815.0
Left-Putamen,50916.0,50916.0,51048.0,50844.0
Left-Pallidum,19357.0,19357.0,19227.0,19864.0
Brain-Stem,332736.0,332736.0,331840.0,332416.0
Left-Hippocampus,58667.0,58667.0,59381.0,58973.0
Left-Amygdala,23274.0,23274.0,23490.0,23238.0
Left-Accumbens-area,10686.0,10686.0,10764.0,10660.0
Right-Thalamus-Proper,371959.0,371959.0,379211.0,379162.0
Right-Caudate,147700.0,147700.0,148700.0,146950.0
Right-Putamen,211752.0,211752.0,209814.0,208947.0
Right-Pallidum,82680.0,82680.0,80964.0,80912.0
Right-Hippocampus,205269.0,205269.0,206965.0,208343.0
Right-Amygdala,69282.0,69282.0,69822.0,70146.0
Right-Accumbens-area,17110.0,17110.0,16240.0,17226.0
