label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,72950.0,72950.0,72950.0,72970.0
Left-Caudate,37664.0,37664.0,37719.0,37851.0
Left-Putamen,54204.0,54204.0,53388.0,54480.0
Left-Pallidum,19695.0,19695.0,19565.0,18135.0
Brain-Stem,299168.0,299168.0,303280.0,299040.0
Left-Hippocampus,61676.0,61676.0,61710.0,61166.0
Left-Amygdala,23850.0,23850.0,24498.0,23760.0
Left-Accumbens-area,9932.0,9932.0,9828.0,9750.0
Right-Thalamus-Proper,362208.0,362208.0,362208.0,361816.0
Right-Caudate,182950.0,182950.0,181900.0,182500.0
Right-Putamen,221697.0,221697.0,223533.0,219759.0
Right-Pallidum,79716.0,79716.0,80184.0,79612.0
Right-Hippocampus,201983.0,201983.0,203891.0,199227.0
Right-Amygdala,73332.0,73332.0,72090.0,74466.0
Right-Accumbens-area,32132.0,32132.0,30740.0,31784.0
