label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74170.0,74170.0,73760.0,74470.0
Left-Caudate,37774.0,37774.0,37917.0,37752.0
Left-Putamen,53376.0,53376.0,53448.0,52764.0
Left-Pallidum,19656.0,19656.0,18564.0,19396.0
Brain-Stem,297840.0,297840.0,299552.0,298176.0
Left-Hippocampus,62951.0,62951.0,63104.0,62373.0
Left-Amygdala,22410.0,22410.0,21996.0,22140.0
Left-Accumbens-area,12714.0,12714.0,12246.0,12870.0
Right-Thalamus-Proper,359709.0,359709.0,360297.0,360444.0
Right-Caudate,183800.0,183800.0,183700.0,184050.0
Right-Putamen,230979.0,230979.0,225471.0,229296.0
Right-Pallidum,80548.0,80548.0,80080.0,79612.0
Right-Hippocampus,190588.0,190588.0,194086.0,192549.0
Right-Amygdala,68094.0,68094.0,68418.0,66906.0
Right-Accumbens-area,27840.0,27840.0,29638.0,31030.0
