label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84110.0,84110.0,84080.0,84100.0
Left-Caudate,36619.0,36619.0,36817.0,36740.0
Left-Putamen,55344.0,55344.0,55800.0,55608.0
Left-Pallidum,22685.0,22685.0,22659.0,22646.0
Brain-Stem,369696.0,369696.0,368272.0,366592.0
Left-Hippocampus,66912.0,66912.0,67252.0,67048.0
Left-Amygdala,30906.0,30906.0,30654.0,31104.0
Left-Accumbens-area,15288.0,15288.0,15522.0,15314.0
Right-Thalamus-Proper,394744.0,394744.0,394058.0,394352.0
Right-Caudate,167700.0,167700.0,167700.0,167600.0
Right-Putamen,209763.0,209763.0,209763.0,209916.0
Right-Pallidum,89596.0,89596.0,89492.0,89856.0
Right-Hippocampus,212954.0,212954.0,210569.0,211735.0
Right-Amygdala,91098.0,91098.0,90666.0,89316.0
Right-Accumbens-area,21692.0,21692.0,22040.0,21634.0
