label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,41010.0,41010.0,40970.0,40980.0
Left-Caudate,15037.0,15037.0,15235.0,15246.0
Left-Putamen,28500.0,28500.0,28620.0,28164.0
Left-Pallidum,10686.0,10686.0,10660.0,10660.0
Brain-Stem,162928.0,162928.0,163312.0,163808.0
Left-Hippocampus,32028.0,32028.0,31943.0,31807.0
Left-Amygdala,15102.0,15102.0,15156.0,15138.0
Left-Accumbens-area,6760.0,6760.0,6864.0,6786.0
Right-Thalamus-Proper,199136.0,199136.0,199038.0,199136.0
Right-Caudate,65850.0,65850.0,65600.0,65400.0
Right-Putamen,123879.0,123879.0,120972.0,125409.0
Right-Pallidum,42744.0,42744.0,43628.0,43680.0
Right-Hippocampus,116441.0,116441.0,116282.0,116335.0
Right-Amygdala,39528.0,39528.0,39474.0,39690.0
Right-Accumbens-area,10730.0,10730.0,10382.0,10440.0
