label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84180.0,84180.0,84230.0,84130.0
Left-Caudate,36498.0,36498.0,36509.0,36410.0
Left-Putamen,51600.0,51600.0,50988.0,51192.0
Left-Pallidum,23400.0,23400.0,23335.0,23309.0
Brain-Stem,360704.0,360704.0,361392.0,360288.0
Left-Hippocampus,64685.0,64685.0,64940.0,65178.0
Left-Amygdala,31734.0,31734.0,31536.0,31680.0
Left-Accumbens-area,14508.0,14508.0,14274.0,14638.0
Right-Thalamus-Proper,394891.0,394891.0,400085.0,394744.0
Right-Caudate,165200.0,165200.0,166800.0,167900.0
Right-Putamen,206244.0,206244.0,207825.0,206703.0
Right-Pallidum,89388.0,89388.0,89284.0,89804.0
Right-Hippocampus,203202.0,203202.0,202990.0,204898.0
Right-Amygdala,88452.0,88452.0,84456.0,87696.0
Right-Accumbens-area,20416.0,20416.0,20184.0,20648.0
