label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84520.0,84520.0,83540.0,84250.0
Left-Caudate,40513.0,40513.0,40733.0,40524.0
Left-Putamen,70068.0,70068.0,69300.0,70464.0
Left-Pallidum,23231.0,23231.0,23218.0,23075.0
Brain-Stem,352736.0,352736.0,352816.0,349232.0
Left-Hippocampus,75735.0,75735.0,75871.0,75735.0
Left-Amygdala,27486.0,27486.0,27522.0,27936.0
Left-Accumbens-area,13728.0,13728.0,13988.0,13676.0
Right-Thalamus-Proper,410963.0,410963.0,410718.0,410277.0
Right-Caudate,187150.0,187150.0,186200.0,186800.0
Right-Putamen,288354.0,288354.0,287385.0,290037.0
Right-Pallidum,86008.0,86008.0,86892.0,85436.0
Right-Hippocampus,254135.0,254135.0,254347.0,253976.0
Right-Amygdala,82674.0,82674.0,82620.0,82350.0
Right-Accumbens-area,35206.0,35206.0,36018.0,34916.0
