label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89100.0,89100.0,89030.0,89100.0
Left-Caudate,38181.0,38181.0,37840.0,37741.0
Left-Putamen,61980.0,61980.0,61956.0,61848.0
Left-Pallidum,22828.0,22828.0,23023.0,23010.0
Brain-Stem,358816.0,358816.0,356208.0,357936.0
Left-Hippocampus,74681.0,74681.0,75123.0,74817.0
Left-Amygdala,28944.0,28944.0,28872.0,29214.0
Left-Accumbens-area,13988.0,13988.0,14144.0,14976.0
Right-Thalamus-Proper,434973.0,434973.0,433993.0,436492.0
Right-Caudate,178850.0,178850.0,179300.0,178900.0
Right-Putamen,252705.0,252705.0,263976.0,261222.0
Right-Pallidum,97032.0,97032.0,98384.0,99632.0
Right-Hippocampus,215869.0,215869.0,215975.0,218254.0
Right-Amygdala,95580.0,95580.0,94554.0,93528.0
Right-Accumbens-area,28246.0,28246.0,27550.0,27434.0
