label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76570.0,76570.0,76570.0,76410.0
Left-Caudate,40447.0,40447.0,40447.0,40810.0
Left-Putamen,77460.0,77460.0,77460.0,78948.0
Left-Pallidum,28184.0,28184.0,28184.0,28171.0
Brain-Stem,361952.0,361952.0,361952.0,364208.0
Left-Hippocampus,61540.0,61540.0,61540.0,63257.0
Left-Amygdala,28638.0,28638.0,28656.0,28674.0
Left-Accumbens-area,14404.0,14404.0,14404.0,13884.0
Right-Thalamus-Proper,376467.0,376467.0,376467.0,376712.0
Right-Caudate,182550.0,182550.0,182550.0,184200.0
Right-Putamen,319362.0,319362.0,319362.0,319311.0
Right-Pallidum,94744.0,94744.0,94744.0,95368.0
Right-Hippocampus,225356.0,225356.0,225356.0,223024.0
Right-Amygdala,98280.0,98280.0,98280.0,95958.0
Right-Accumbens-area,26274.0,26274.0,26274.0,25404.0
