label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88270.0,88270.0,88640.0,88530.0
Left-Caudate,47663.0,47663.0,47432.0,47223.0
Left-Putamen,68580.0,68580.0,68988.0,68904.0
Left-Pallidum,25649.0,25649.0,25636.0,25844.0
Brain-Stem,355520.0,355520.0,355072.0,357200.0
Left-Hippocampus,67133.0,67133.0,67116.0,67167.0
Left-Amygdala,33228.0,33228.0,33714.0,33048.0
Left-Accumbens-area,10660.0,10660.0,10686.0,10868.0
Right-Thalamus-Proper,438599.0,438599.0,435953.0,438991.0
Right-Caudate,209800.0,209800.0,210050.0,211050.0
Right-Putamen,282846.0,282846.0,279123.0,281418.0
Right-Pallidum,102648.0,102648.0,102648.0,102856.0
Right-Hippocampus,236380.0,236380.0,234949.0,234525.0
Right-Amygdala,101250.0,101250.0,98874.0,104166.0
Right-Accumbens-area,24244.0,24244.0,24998.0,25288.0
