label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89900.0,89900.0,89930.0,89890.0
Left-Caudate,35761.0,35761.0,35310.0,35816.0
Left-Putamen,68148.0,68148.0,68244.0,67932.0
Left-Pallidum,24986.0,24986.0,24921.0,24791.0
Brain-Stem,394176.0,394176.0,394928.0,392880.0
Left-Hippocampus,62900.0,62900.0,61506.0,61625.0
Left-Amygdala,26406.0,26406.0,26370.0,26622.0
Left-Accumbens-area,15444.0,15444.0,15340.0,15496.0
Right-Thalamus-Proper,436688.0,436688.0,436002.0,436149.0
Right-Caudate,158900.0,158900.0,160550.0,159150.0
Right-Putamen,280551.0,280551.0,280653.0,282336.0
Right-Pallidum,105508.0,105508.0,104884.0,105144.0
Right-Hippocampus,201718.0,201718.0,201029.0,200870.0
Right-Amygdala,88614.0,88614.0,89532.0,90450.0
Right-Accumbens-area,29812.0,29812.0,27376.0,26970.0
