label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73300.0,73300.0,73300.0,73350.0
Left-Caudate,37477.0,37477.0,37477.0,37433.0
Left-Putamen,65808.0,65808.0,65808.0,65928.0
Left-Pallidum,23374.0,23374.0,23374.0,23465.0
Brain-Stem,331504.0,331504.0,331504.0,334192.0
Left-Hippocampus,60724.0,60724.0,60724.0,62475.0
Left-Amygdala,22302.0,22302.0,22302.0,21618.0
Left-Accumbens-area,10478.0,10478.0,10452.0,10582.0
Right-Thalamus-Proper,367696.0,367696.0,367696.0,367794.0
Right-Caudate,147550.0,147550.0,147550.0,147600.0
Right-Putamen,269433.0,269433.0,269433.0,272901.0
Right-Pallidum,90740.0,90740.0,90740.0,90324.0
Right-Hippocampus,216346.0,216346.0,216346.0,210781.0
Right-Amygdala,78840.0,78840.0,78840.0,79704.0
Right-Accumbens-area,26796.0,26796.0,26796.0,27202.0
