label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,91030.0,91030.0,91380.0,91660.0
Left-Caudate,43153.0,43153.0,43109.0,43681.0
Left-Putamen,65988.0,65988.0,64656.0,65556.0
Left-Pallidum,25194.0,25194.0,25233.0,25259.0
Brain-Stem,391792.0,391792.0,394384.0,392960.0
Left-Hippocampus,66657.0,66657.0,66215.0,66776.0
Left-Amygdala,33750.0,33750.0,34704.0,34740.0
Left-Accumbens-area,17368.0,17368.0,17576.0,16562.0
Right-Thalamus-Proper,438599.0,438599.0,440510.0,438354.0
Right-Caudate,185500.0,185400.0,185900.0,186700.0
Right-Putamen,270606.0,270606.0,272238.0,274839.0
Right-Pallidum,104052.0,104052.0,105872.0,106080.0
Right-Hippocampus,213590.0,213590.0,207972.0,211470.0
Right-Amygdala,88884.0,88884.0,92988.0,93258.0
Right-Accumbens-area,21054.0,21228.0,21286.0,23084.0
