label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74130.0,74130.0,73900.0,73980.0
Left-Caudate,36223.0,36223.0,36421.0,36355.0
Left-Putamen,64116.0,64116.0,61668.0,61704.0
Left-Pallidum,23413.0,23413.0,23270.0,23205.0
Brain-Stem,345392.0,345392.0,330928.0,345856.0
Left-Hippocampus,63070.0,63070.0,62305.0,62526.0
Left-Amygdala,23220.0,23220.0,23292.0,23022.0
Left-Accumbens-area,10296.0,10296.0,9854.0,9828.0
Right-Thalamus-Proper,367745.0,367745.0,367843.0,367647.0
Right-Caudate,150900.0,150900.0,151050.0,150800.0
Right-Putamen,258723.0,258723.0,259896.0,260712.0
Right-Pallidum,90376.0,90376.0,90584.0,90480.0
Right-Hippocampus,208184.0,208184.0,207813.0,208608.0
Right-Amygdala,79758.0,79758.0,78678.0,78786.0
Right-Accumbens-area,25578.0,25578.0,26622.0,26390.0
