label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,69830.0,69830.0,69850.0,69820.0
Left-Caudate,36201.0,36201.0,36256.0,36168.0
Left-Putamen,61392.0,61392.0,61392.0,61512.0
Left-Pallidum,21346.0,21346.0,21346.0,21346.0
Brain-Stem,294416.0,294416.0,284976.0,293984.0
Left-Hippocampus,49844.0,49844.0,50405.0,50694.0
Left-Amygdala,24012.0,24012.0,23976.0,24408.0
Left-Accumbens-area,12766.0,12766.0,12922.0,12896.0
Right-Thalamus-Proper,338590.0,338590.0,338786.0,338590.0
Right-Caudate,154450.0,154450.0,153900.0,154300.0
Right-Putamen,239955.0,239955.0,235161.0,235161.0
Right-Pallidum,81484.0,81484.0,81224.0,81432.0
Right-Hippocampus,156562.0,156562.0,157039.0,154442.0
Right-Amygdala,75708.0,75708.0,76356.0,75168.0
Right-Accumbens-area,22330.0,22330.0,22620.0,22156.0
