label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,72380.0,72380.0,74250.0,74250.0
Left-Caudate,35871.0,35871.0,35794.0,35860.0
Left-Putamen,62568.0,62568.0,62472.0,63264.0
Left-Pallidum,23088.0,23088.0,23127.0,23127.0
Brain-Stem,340192.0,340192.0,341776.0,338352.0
Left-Hippocampus,64600.0,64600.0,64617.0,64651.0
Left-Amygdala,22878.0,22878.0,22932.0,22842.0
Left-Accumbens-area,9516.0,9516.0,9620.0,9880.0
Right-Thalamus-Proper,367843.0,367843.0,365099.0,364413.0
Right-Caudate,150500.0,150500.0,149650.0,149600.0
Right-Putamen,262701.0,262701.0,263721.0,263721.0
Right-Pallidum,89232.0,89232.0,89024.0,88920.0
Right-Hippocampus,214332.0,214332.0,214279.0,213961.0
Right-Amygdala,76842.0,76842.0,77976.0,80082.0
Right-Accumbens-area,23142.0,23142.0,23664.0,23896.0
