label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73340.0,73340.0,73330.0,73240.0
Left-Caudate,36278.0,36278.0,36366.0,36509.0
Left-Putamen,57564.0,57564.0,57780.0,58092.0
Left-Pallidum,21671.0,21671.0,21619.0,21671.0
Brain-Stem,322720.0,322720.0,334640.0,329136.0
Left-Hippocampus,60265.0,60265.0,59959.0,57698.0
Left-Amygdala,24912.0,24912.0,25092.0,25182.0
Left-Accumbens-area,10400.0,10400.0,9516.0,9932.0
Right-Thalamus-Proper,341873.0,341873.0,341971.0,341775.0
Right-Caudate,165200.0,165200.0,164450.0,165800.0
Right-Putamen,250053.0,250053.0,249390.0,248370.0
Right-Pallidum,91520.0,91520.0,91364.0,91416.0
Right-Hippocampus,166950.0,166950.0,164989.0,167374.0
Right-Amygdala,81756.0,81756.0,81486.0,82836.0
Right-Accumbens-area,16356.0,16356.0,18038.0,18096.0
