label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82680.0,82680.0,82680.0,82690.0
Left-Caudate,37400.0,37400.0,37444.0,37433.0
Left-Putamen,54672.0,54672.0,54540.0,54708.0
Left-Pallidum,24245.0,24245.0,24219.0,24219.0
Brain-Stem,379888.0,379888.0,379952.0,381120.0
Left-Hippocampus,57596.0,57596.0,57341.0,57732.0
Left-Amygdala,25722.0,25722.0,25182.0,25740.0
Left-Accumbens-area,14560.0,14560.0,15002.0,14846.0
Right-Thalamus-Proper,382935.0,382935.0,383180.0,382837.0
Right-Caudate,180500.0,180500.0,182700.0,181150.0
Right-Putamen,222360.0,222360.0,223176.0,223074.0
Right-Pallidum,92612.0,92612.0,92456.0,92456.0
Right-Hippocampus,203573.0,203573.0,205428.0,202142.0
Right-Amygdala,79866.0,79866.0,80676.0,80784.0
Right-Accumbens-area,25114.0,25114.0,24128.0,24824.0
