label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,91550.0,91550.0,91410.0,91960.0
Left-Caudate,43978.0,43978.0,43890.0,44374.0
Left-Putamen,66108.0,66108.0,65544.0,66204.0
Left-Pallidum,25012.0,25012.0,25051.0,25168.0
Brain-Stem,388896.0,388896.0,387056.0,390656.0
Left-Hippocampus,66232.0,66232.0,66436.0,66504.0
Left-Amygdala,33858.0,33858.0,33840.0,33858.0
Left-Accumbens-area,15678.0,15678.0,15574.0,16172.0
Right-Thalamus-Proper,454426.0,454426.0,452956.0,452417.0
Right-Caudate,185950.0,185950.0,185350.0,183800.0
Right-Putamen,274278.0,274278.0,270810.0,272238.0
Right-Pallidum,101400.0,101400.0,101036.0,101764.0
Right-Hippocampus,211258.0,211258.0,211099.0,208767.0
Right-Amygdala,94608.0,94608.0,92178.0,89748.0
Right-Accumbens-area,28188.0,28188.0,31436.0,30392.0
