label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75550.0,75550.0,75500.0,75600.0
Left-Caudate,31702.0,31702.0,31823.0,32032.0
Left-Putamen,58608.0,58608.0,58344.0,58392.0
Left-Pallidum,20176.0,20176.0,20254.0,20189.0
Brain-Stem,334864.0,334864.0,335312.0,334960.0
Left-Hippocampus,54910.0,54910.0,55250.0,55522.0
Left-Amygdala,25830.0,25830.0,26064.0,25740.0
Left-Accumbens-area,11492.0,11492.0,10790.0,10660.0
Right-Thalamus-Proper,353976.0,353976.0,354172.0,354172.0
Right-Caudate,145350.0,145350.0,145450.0,145450.0
Right-Putamen,251022.0,251022.0,254184.0,252654.0
Right-Pallidum,85176.0,85176.0,85384.0,85124.0
Right-Hippocampus,183433.0,183433.0,182585.0,183327.0
Right-Amygdala,73440.0,73440.0,73872.0,74088.0
Right-Accumbens-area,22098.0,22098.0,22330.0,22620.0
