label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84280.0,84280.0,84090.0,83930.0
Left-Caudate,37873.0,37873.0,37774.0,37873.0
Left-Putamen,51564.0,51564.0,51276.0,51408.0
Left-Pallidum,23036.0,23036.0,23114.0,22672.0
Brain-Stem,359680.0,359680.0,361376.0,362432.0
Left-Hippocampus,65246.0,65246.0,64889.0,64991.0
Left-Amygdala,30618.0,30618.0,30798.0,30510.0
Left-Accumbens-area,14118.0,14118.0,13364.0,14066.0
Right-Thalamus-Proper,399350.0,399350.0,400036.0,399840.0
Right-Caudate,168650.0,168650.0,168000.0,168050.0
Right-Putamen,203490.0,203490.0,206601.0,202623.0
Right-Pallidum,89076.0,89076.0,88712.0,87724.0
Right-Hippocampus,209509.0,209509.0,210251.0,209880.0
Right-Amygdala,90936.0,90936.0,87534.0,91530.0
Right-Accumbens-area,21750.0,21750.0,21750.0,22040.0
