label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87520.0,87520.0,87520.0,87480.0
Left-Caudate,44011.0,44011.0,44011.0,43505.0
Left-Putamen,66828.0,66828.0,66828.0,67236.0
Left-Pallidum,22126.0,22126.0,22126.0,21918.0
Brain-Stem,383424.0,383424.0,383440.0,386144.0
Left-Hippocampus,63155.0,63155.0,63172.0,64294.0
Left-Amygdala,34596.0,34596.0,34596.0,34668.0
Left-Accumbens-area,12064.0,12064.0,12064.0,12714.0
Right-Thalamus-Proper,409591.0,409591.0,409591.0,409199.0
Right-Caudate,191400.0,191400.0,191400.0,190300.0
Right-Putamen,300033.0,300033.0,300033.0,300543.0
Right-Pallidum,95888.0,95888.0,95888.0,95836.0
Right-Hippocampus,207813.0,207813.0,207760.0,206859.0
Right-Amygdala,94176.0,94176.0,94176.0,93528.0
Right-Accumbens-area,29986.0,29986.0,29986.0,29812.0
