label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,79710.0,79710.0,79330.0,79320.0
Left-Caudate,41976.0,41976.0,41976.0,41932.0
Left-Putamen,56556.0,56556.0,56388.0,56832.0
Left-Pallidum,20930.0,20930.0,20761.0,20592.0
Brain-Stem,309312.0,309312.0,306432.0,308768.0
Left-Hippocampus,66079.0,66079.0,65977.0,66589.0
Left-Amygdala,26658.0,26658.0,26784.0,26784.0
Left-Accumbens-area,12844.0,12844.0,11856.0,12090.0
Right-Thalamus-Proper,372841.0,372841.0,372841.0,372645.0
Right-Caudate,182350.0,182350.0,182000.0,182550.0
Right-Putamen,227970.0,227970.0,230622.0,230622.0
Right-Pallidum,87568.0,87568.0,86424.0,86476.0
Right-Hippocampus,205799.0,205799.0,206541.0,206541.0
Right-Amygdala,73710.0,73710.0,74358.0,73386.0
Right-Accumbens-area,16878.0,16878.0,19952.0,18328.0
