label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84940.0,84940.0,87420.0,87400.0
Left-Caudate,46728.0,46728.0,46145.0,45606.0
Left-Putamen,52440.0,52440.0,53928.0,54048.0
Left-Pallidum,23036.0,23036.0,23023.0,23101.0
Brain-Stem,370176.0,370176.0,367888.0,369792.0
Left-Hippocampus,63716.0,63716.0,64311.0,64668.0
Left-Amygdala,31680.0,31680.0,31518.0,32148.0
Left-Accumbens-area,17732.0,17732.0,17576.0,17810.0
Right-Thalamus-Proper,411404.0,411404.0,410816.0,410865.0
Right-Caudate,207850.0,207850.0,208450.0,209100.0
Right-Putamen,241026.0,241026.0,240771.0,239700.0
Right-Pallidum,104884.0,104884.0,104832.0,104936.0
Right-Hippocampus,219155.0,219155.0,215498.0,218201.0
Right-Amygdala,91152.0,91152.0,95364.0,93960.0
Right-Accumbens-area,30160.0,30160.0,29986.0,29986.0
