label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,72360.0,72360.0,72260.0,72310.0
Left-Caudate,36333.0,36333.0,36245.0,36465.0
Left-Putamen,56952.0,56952.0,56808.0,57180.0
Left-Pallidum,21996.0,21996.0,22009.0,21970.0
Brain-Stem,316304.0,316304.0,317072.0,318240.0
Left-Hippocampus,63699.0,63699.0,63988.0,64073.0
Left-Amygdala,26532.0,26532.0,25794.0,26118.0
Left-Accumbens-area,11284.0,11284.0,11544.0,11570.0
Right-Thalamus-Proper,340060.0,340060.0,338639.0,340256.0
Right-Caudate,162050.0,162050.0,161350.0,162850.0
Right-Putamen,252246.0,252246.0,252399.0,252960.0
Right-Pallidum,87048.0,87048.0,87360.0,87204.0
Right-Hippocampus,179829.0,179829.0,174741.0,180412.0
Right-Amygdala,79812.0,79812.0,80784.0,78570.0
Right-Accumbens-area,23142.0,23142.0,22794.0,23606.0
