label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,92170.0,92170.0,92100.0,91970.0
Left-Caudate,42790.0,42790.0,41943.0,42768.0
Left-Putamen,69432.0,69432.0,69276.0,68976.0
Left-Pallidum,25831.0,25831.0,25402.0,25883.0
Brain-Stem,378080.0,378080.0,377808.0,379248.0
Left-Hippocampus,67218.0,67218.0,66470.0,67422.0
Left-Amygdala,33372.0,33372.0,33876.0,32958.0
Left-Accumbens-area,15054.0,15054.0,15756.0,14768.0
Right-Thalamus-Proper,440755.0,440755.0,440706.0,440853.0
Right-Caudate,183750.0,183750.0,182300.0,184000.0
Right-Putamen,280551.0,280551.0,280551.0,280296.0
Right-Pallidum,102024.0,102024.0,102596.0,102024.0
Right-Hippocampus,208025.0,208025.0,208396.0,207495.0
Right-Amygdala,92340.0,92340.0,90828.0,92664.0
Right-Accumbens-area,22678.0,22678.0,23084.0,24360.0
