label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,69390.0,69390.0,69370.0,69440.0
Left-Caudate,35244.0,35244.0,35563.0,35255.0
Left-Putamen,61644.0,61644.0,61152.0,62064.0
Left-Pallidum,21554.0,21554.0,21762.0,21619.0
Brain-Stem,291360.0,291360.0,292064.0,291408.0
Left-Hippocampus,48705.0,48705.0,49861.0,49419.0
Left-Amygdala,25992.0,25992.0,25380.0,25632.0
Left-Accumbens-area,14300.0,14300.0,13988.0,14326.0
Right-Thalamus-Proper,335699.0,335699.0,335895.0,335601.0
Right-Caudate,151800.0,151800.0,152550.0,151300.0
Right-Putamen,247452.0,247452.0,248370.0,251481.0
Right-Pallidum,79716.0,79716.0,79716.0,79612.0
Right-Hippocampus,165572.0,165572.0,167162.0,163399.0
Right-Amygdala,76464.0,76464.0,75222.0,75978.0
Right-Accumbens-area,23606.0,23606.0,23606.0,23838.0
