label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74170.0,74170.0,74010.0,74010.0
Left-Caudate,38412.0,38412.0,38610.0,38742.0
Left-Putamen,65448.0,65448.0,65040.0,65736.0
Left-Pallidum,25103.0,25103.0,25103.0,25220.0
Brain-Stem,315952.0,315952.0,313520.0,316352.0
Left-Hippocampus,60299.0,60299.0,60095.0,60095.0
Left-Amygdala,25560.0,25560.0,25344.0,25506.0
Left-Accumbens-area,13884.0,13884.0,12636.0,12272.0
Right-Thalamus-Proper,349419.0,349419.0,349272.0,349370.0
Right-Caudate,174050.0,174050.0,174100.0,173400.0
Right-Putamen,261732.0,261732.0,260304.0,260661.0
Right-Pallidum,96824.0,96824.0,97500.0,97188.0
Right-Hippocampus,208290.0,208290.0,207654.0,206594.0
Right-Amygdala,69012.0,69012.0,66960.0,66906.0
Right-Accumbens-area,25404.0,25404.0,25578.0,25984.0
