label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81830.0,81830.0,81610.0,82620.0
Left-Caudate,38291.0,38291.0,38643.0,38698.0
Left-Putamen,68424.0,68424.0,69060.0,69936.0
Left-Pallidum,24804.0,24804.0,25792.0,25467.0
Brain-Stem,370336.0,370336.0,366720.0,367024.0
Left-Hippocampus,60384.0,60384.0,59143.0,59568.0
Left-Amygdala,30240.0,30240.0,29772.0,30330.0
Left-Accumbens-area,17784.0,17784.0,16432.0,17134.0
Right-Thalamus-Proper,403172.0,403172.0,405720.0,405475.0
Right-Caudate,181700.0,181700.0,196600.0,193950.0
Right-Putamen,282081.0,282081.0,282897.0,283509.0
Right-Pallidum,91572.0,91572.0,90896.0,99320.0
Right-Hippocampus,195464.0,195464.0,191171.0,191489.0
Right-Amygdala,74142.0,74142.0,78732.0,80028.0
Right-Accumbens-area,34336.0,34336.0,32538.0,35032.0
